Date,Open,High,Low,Close,Adj Close,Volume
"Jul 4, 2024",140.72,142.51,127.55,127.55,127.55,"3,243,822,145"
"Jul 3, 2024",153.71,154.20,139.52,140.73,140.73,"2,813,419,415"
"Jul 2, 2024",146.59,154.71,146.12,153.70,153.70,"2,024,773,533"
"Jul 1, 2024",146.48,148.80,145.82,146.60,146.60,"1,814,659,116"
"Jun 30, 2024",140.01,147.20,137.14,146.49,146.49,"1,567,841,881"
"Jun 29, 2024",139.72,142.82,139.67,140.01,140.01,"1,139,066,175"
"Jun 28, 2024",149.45,150.05,139.31,139.70,139.70,"2,396,070,692"
"Jun 27, 2024",136.61,150.77,135.24,149.45,149.45,"2,831,651,846"
"Jun 26, 2024",136.55,140.17,134.93,136.61,136.61,"1,670,038,554"
"Jun 25, 2024",132.27,139.73,131.30,136.56,136.56,"2,517,391,150"
"Jun 24, 2024",128.60,132.31,123.67,132.24,132.24,"3,420,423,301"
"Jun 23, 2024",133.66,135.01,128.27,128.59,128.59,"1,063,910,411"
"Jun 22, 2024",134.57,136.46,133.14,133.67,133.67,"948,392,979"
"Jun 21, 2024",133.47,135.23,128.92,134.59,134.59,"2,214,701,928"
"Jun 20, 2024",135.61,141.08,132.09,133.47,133.47,"2,343,938,226"
"Jun 19, 2024",137.48,141.67,134.73,135.61,135.61,"2,241,396,569"
"Jun 18, 2024",143.31,143.61,130.29,137.50,137.50,"4,046,511,952"
"Jun 17, 2024",151.14,151.58,140.14,143.33,143.33,"2,244,770,232"
"Jun 16, 2024",145.42,151.13,143.18,151.13,151.13,"1,147,997,523"
"Jun 15, 2024",143.07,145.54,143.02,145.41,145.41,"1,065,293,341"
"Jun 14, 2024",147.28,148.79,140.12,143.09,143.09,"2,330,458,883"
"Jun 13, 2024",155.19,155.19,146.17,147.31,147.31,"2,085,097,655"
"Jun 12, 2024",149.42,161.51,145.82,155.18,155.18,"2,853,692,260"
"Jun 11, 2024",158.93,159.52,145.87,149.43,149.43,"2,812,642,453"
"Jun 10, 2024",162.08,162.83,157.77,158.93,158.93,"1,815,361,482"
"Jun 9, 2024",157.96,162.92,156.77,162.08,162.08,"1,475,878,151"
