Title,Lot,Year,cc,Fuel,Mileage,Reg,CO2,Colour,MOT,Type,Gearbox,Former Keepers,Descriptions,Images,Buy_it_now,Check_link
2009 KIA RIO STRIKE AUTO,44DK,2009,1399cc,Petrol,45k miles,SV59FAM,165,Blue,Oct 25,5dr,Auto,2,"['Three registered keepers. Five service stamps and one handwritten entry with the last dated 2024 at 43,409 miles', 'One key (untested), parking sensors (untested).']","/images/lots/2689/9312~6/0007_xbOYlH_lg.jpeg, /images/lots/2689/9312~6/0008_IJREsM_lg.jpeg, /images/lots/2689/9312~6/0009_bXMntv_lg.jpeg, /images/lots/2689/9312~6/0010_sXVieF_lg.jpeg, /images/lots/2689/9312~6/0011_EMCdcY_lg.jpeg, /images/lots/2689/9312~6/0012_LgmWAu_lg.jpeg, /images/lots/2689/9312~6/0013_NtKLka_lg.jpeg, /images/lots/2689/9312~6/0014_vkgWbq_lg.jpeg, /images/lots/2689/9312~6/0015_vguGOI_lg.jpeg, /images/lots/2689/9312~6/0016_MLXOtA_lg.jpeg, /images/lots/2689/9312~6/0017_KWRVLx_lg.jpeg, /images/lots/2689/9312~6/0018_kGQSNB_lg.jpeg, /images/lots/2689/9312~6/0019_XswArF_lg.jpeg, /images/lots/2689/9312~6/0020_yhmXAU_lg.jpeg, /images/lots/2689/9312~6/0021_etSSPG_lg.jpeg, /images/lots/2689/9312~6/0022_wnsRgM_lg.jpeg, /images/lots/2689/9312~6/0023_wKdlhi_lg.jpeg, /images/lots/2689/9312~6/0024_UiRMjm_lg.jpeg, /images/lots/2689/9312~6/0025_VPmKab_lg.jpeg, /images/lots/2689/9312~6/0026_Xpdevy_lg.jpeg, /images/lots/2689/9312~6/0027_pkIkpy_lg.jpeg, /images/lots/2689/9312~6/0028_KyqfeM_lg.jpeg, /images/lots/2689/9312~6/0029_BoKxve_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/7e319ff4-19c2-423f-bbd0-3010c04c12b8
2016 AUDI A1 SE TFSI,45DK,2016,999cc,Petrol,45k miles,YA66OGM,97,Black,Apr 25,3DR,Manual,3,['Two keys (untested).'],"/images/lots/2689/9315~1/0007_WOPJws_lg.jpeg, /images/lots/2689/9315~1/0008_yjzkiV_lg.jpeg, /images/lots/2689/9315~1/0009_jpUzqN_lg.jpeg, /images/lots/2689/9315~1/0010_zjFIyZ_lg.jpeg, /images/lots/2689/9315~1/0011_GTULfo_lg.jpeg, /images/lots/2689/9315~1/0012_keRQWf_lg.jpeg, /images/lots/2689/9315~1/0013_NLTgAo_lg.jpeg, /images/lots/2689/9315~1/0014_ktbgQc_lg.jpeg, /images/lots/2689/9315~1/0015_NBruQX_lg.jpeg, /images/lots/2689/9315~1/0016_RLwEog_lg.jpeg, /images/lots/2689/9315~1/0017_vkzCQa_lg.jpeg, /images/lots/2689/9315~1/0018_OFzCnQ_lg.jpeg, /images/lots/2689/9315~1/0019_iWMnPM_lg.jpeg, /images/lots/2689/9315~1/0020_mxHPvR_lg.jpeg, /images/lots/2689/9315~1/0021_rBoosQ_lg.jpeg, /images/lots/2689/9315~1/0022_lMMwnC_lg.jpeg, /images/lots/2689/9315~1/0023_vMhuza_lg.jpeg, /images/lots/2689/9315~1/0024_GpXbiE_lg.jpeg, /images/lots/2689/9315~1/0025_PZPYCe_lg.jpeg, /images/lots/2689/9315~1/0026_bKxUsI_lg.jpeg, /images/lots/2689/9315~1/0027_KTKfRo_lg.jpeg, /images/lots/2689/9315~1/0028_jwKXXo_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/cb5689b6-8e8c-4f6c-9884-bdacc5e856ea
2018 PEUGEOT PARTNER TEPEE OUTDOOR BHD,46DK,2018,1560cc,Diesel,65k miles,FG18EVH,113,Silver,Mar 25,MPV,Manual,2,"['Three registered keepers with the last registered September 2021. Six service stamps with the last dated February 2024 at 53,150 miles', 'Two keys (untested), parking sensors (untested).']","/images/lots/2689/9315~2/0007_uGIIQM_lg.jpeg, /images/lots/2689/9315~2/0008_eHbgfS_lg.jpeg, /images/lots/2689/9315~2/0009_ODIcoX_lg.jpeg, /images/lots/2689/9315~2/0010_hnIQxF_lg.jpeg, /images/lots/2689/9315~2/0011_dIrsaZ_lg.jpeg, /images/lots/2689/9315~2/0012_DWLhng_lg.jpeg, /images/lots/2689/9315~2/0013_XJfeKR_lg.jpeg, /images/lots/2689/9315~2/0014_wLoZxq_lg.jpeg, /images/lots/2689/9315~2/0015_RZyqFH_lg.jpeg, /images/lots/2689/9315~2/0016_NrZGUE_lg.jpeg, /images/lots/2689/9315~2/0017_yNHxiL_lg.jpeg, /images/lots/2689/9315~2/0018_SYlsOy_lg.jpeg, /images/lots/2689/9315~2/0019_SFWfTE_lg.jpeg, /images/lots/2689/9315~2/0020_WQpevh_lg.jpeg, /images/lots/2689/9315~2/0021_YGWxMW_lg.jpeg, /images/lots/2689/9315~2/0022_DhrJja_lg.jpeg, /images/lots/2689/9315~2/0023_LiKkIV_lg.jpeg, /images/lots/2689/9315~2/0024_oDjAEo_lg.jpeg, /images/lots/2689/9315~2/0025_HDaFYt_lg.jpeg, /images/lots/2689/9315~2/0026_iPjGuL_lg.jpeg, /images/lots/2689/9315~2/0027_TXsWci_lg.jpeg, /images/lots/2689/9315~2/0028_KIZUmj_lg.jpeg, /images/lots/2689/9315~2/0029_VFYhIk_lg.jpeg, /images/lots/2689/9315~2/0030_CZorTz_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/1a0fe874-4862-42b8-bc00-8c0d7c5127f5
2005 HONDA JAZZ SE,47DK,2005,1339cc,Petrol,187k miles,FY05AHJ,137,Blue,Mar 25,5dr,Manual,0,"['One registered keeper from new. Thirteen service stamps with the last dated February 2021 at 162,999 miles']","/images/lots/2689/9315~3/0007_yHTtIg_lg.jpeg, /images/lots/2689/9315~3/0008_PSoMlO_lg.jpeg, /images/lots/2689/9315~3/0009_chZYxi_lg.jpeg, /images/lots/2689/9315~3/0010_oajHqO_lg.jpeg, /images/lots/2689/9315~3/0011_hvOQqH_lg.jpeg, /images/lots/2689/9315~3/0012_YrSWpR_lg.jpeg, /images/lots/2689/9315~3/0013_WZLsoi_lg.jpeg, /images/lots/2689/9315~3/0014_biTTZS_lg.jpeg, /images/lots/2689/9315~3/0015_AuOwdn_lg.jpeg, /images/lots/2689/9315~3/0016_JMvuiM_lg.jpeg, /images/lots/2689/9315~3/0017_KfZoAt_lg.jpeg, /images/lots/2689/9315~3/0018_apXcSA_lg.jpeg, /images/lots/2689/9315~3/0019_QKkqkf_lg.jpeg, /images/lots/2689/9315~3/0020_JaoGTj_lg.jpeg, /images/lots/2689/9315~3/0021_ZSmcMo_lg.jpeg, /images/lots/2689/9315~3/0022_aySnZH_lg.jpeg, /images/lots/2689/9315~3/0023_fiWeQR_lg.jpeg, /images/lots/2689/9315~3/0024_kDCYjn_lg.jpeg, /images/lots/2689/9315~3/0025_TyQZQo_lg.jpeg, /images/lots/2689/9315~3/0026_hIJcwp_lg.jpeg, /images/lots/2689/9315~3/0027_DYbnPb_lg.jpeg, /images/lots/2689/9315~3/0028_OfAzph_lg.jpeg, /images/lots/2689/9315~3/0029_ccQpIV_lg.jpeg, /images/lots/2689/9315~3/0030_rmQins_lg.jpeg",,
2017 KIA SPORTAGE 3 ISG CRDI,48DK,2017,1685cc,Diesel,61k miles,BF67HFP,119,Silver,Sep 25,Estate,Manual,1,"['Two registered keepers with the last registered September 2018. Four service stamps with the last dated September 2024 at 58,799 miles', 'Two keys (untested), sat nav and reverse camera (untested). Tyre pressure light displays on the dash. Tapping in idle.']","/images/lots/2689/9315~4/0007_KmAVXH_lg.jpeg, /images/lots/2689/9315~4/0008_GEAfBj_lg.jpeg, /images/lots/2689/9315~4/0009_wfZCRv_lg.jpeg, /images/lots/2689/9315~4/0010_iuaheI_lg.jpeg, /images/lots/2689/9315~4/0011_FEDFbv_lg.jpeg, /images/lots/2689/9315~4/0012_RenOIM_lg.jpeg, /images/lots/2689/9315~4/0013_dTDpfr_lg.jpeg, /images/lots/2689/9315~4/0014_hInnuO_lg.jpeg, /images/lots/2689/9315~4/0015_UIeSsy_lg.jpeg, /images/lots/2689/9315~4/0016_rUJqxx_lg.jpeg, /images/lots/2689/9315~4/0017_GGCKZD_lg.jpeg, /images/lots/2689/9315~4/0018_yoGQbW_lg.jpeg, /images/lots/2689/9315~4/0019_BqGoRV_lg.jpeg, /images/lots/2689/9315~4/0020_YQexsV_lg.jpeg, /images/lots/2689/9315~4/0021_rgNdQT_lg.jpeg, /images/lots/2689/9315~4/0022_QjzCnU_lg.jpeg, /images/lots/2689/9315~4/0023_WRtcbs_lg.jpeg, /images/lots/2689/9315~4/0024_gizLAS_lg.jpeg, /images/lots/2689/9315~4/0025_VTVRzA_lg.jpeg, /images/lots/2689/9315~4/0026_KlNTkb_lg.jpeg, /images/lots/2689/9315~4/0027_OqqcaC_lg.jpeg, /images/lots/2689/9315~4/0028_HSxfMt_lg.jpeg, /images/lots/2689/9315~4/0029_byMnWp_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/511e1cdf-7c4d-4e9c-9539-95b92ec67f2c
2014 FORD FIESTA ZETEC TDCI,49DK,2014,1499cc,Diesel,133k miles,GY14OCN,98,Silver,Sep 25,5dr,Manual,1,['Two registered keepers with the last registered September 2017. One Ford service record'],"/images/lots/2689/9363~1/0007_EWUmmL_lg.jpeg, /images/lots/2689/9363~1/0008_VjgWPW_lg.jpeg, /images/lots/2689/9363~1/0009_sJYtff_lg.jpeg, /images/lots/2689/9363~1/0010_GdfXwy_lg.jpeg, /images/lots/2689/9363~1/0011_pWsXXt_lg.jpeg, /images/lots/2689/9363~1/0012_qNKQSy_lg.jpeg, /images/lots/2689/9363~1/0013_iedFQD_lg.jpeg, /images/lots/2689/9363~1/0014_yAeMHO_lg.jpeg, /images/lots/2689/9363~1/0015_LwUxsL_lg.jpeg, /images/lots/2689/9363~1/0016_sIARsG_lg.jpeg, /images/lots/2689/9363~1/0017_TVNCow_lg.jpeg, /images/lots/2689/9363~1/0018_cnsBNt_lg.jpeg, /images/lots/2689/9363~1/0019_EKgpRX_lg.jpeg, /images/lots/2689/9363~1/0020_BvIigr_lg.jpeg, /images/lots/2689/9363~1/0021_EOVWyq_lg.jpeg, /images/lots/2689/9363~1/0022_lVrLVT_lg.jpeg, /images/lots/2689/9363~1/0023_OaDUMP_lg.jpeg, /images/lots/2689/9363~1/0024_ioZvcu_lg.jpeg, /images/lots/2689/9363~1/0025_jyFgqw_lg.jpeg, /images/lots/2689/9363~1/0026_XUyVHQ_lg.jpeg, /images/lots/2689/9363~1/0027_wsiuax_lg.jpeg, /images/lots/2689/9363~1/0028_jRwoqb_lg.jpeg, /images/lots/2689/9363~1/0029_eBcuYq_lg.jpeg, /images/lots/2689/9363~1/0030_xyviEK_lg.jpeg",,
2012 BMW 320D EFFICIENTDYNAMICS,50DK,2012,1995cc,Diesel,121k miles,YE12CKV,109,Grey,Jan 26,4DR,Manual,4,"['One service invoice dated July 2023 at 113,206 miles. Rear brake discs and pads replaced December 2024 at 116,339 miles']","/images/lots/2689/9362~1/0007_oOwQSb_lg.jpeg, /images/lots/2689/9362~1/0008_QXgyZS_lg.jpeg, /images/lots/2689/9362~1/0009_JkeVIG_lg.jpeg, /images/lots/2689/9362~1/0010_VyRrVW_lg.jpeg, /images/lots/2689/9362~1/0011_mMIEFE_lg.jpeg, /images/lots/2689/9362~1/0012_BpPAbj_lg.jpeg, /images/lots/2689/9362~1/0013_sWoopt_lg.jpeg, /images/lots/2689/9362~1/0014_zcsAeG_lg.jpeg, /images/lots/2689/9362~1/0015_fklJHU_lg.jpeg, /images/lots/2689/9362~1/0016_ralCiT_lg.jpeg, /images/lots/2689/9362~1/0017_mCJiGR_lg.jpeg, /images/lots/2689/9362~1/0018_FnCIYD_lg.jpeg, /images/lots/2689/9362~1/0019_NtDJYc_lg.jpeg, /images/lots/2689/9362~1/0020_bcrcdG_lg.jpeg, /images/lots/2689/9362~1/0021_xTxqPn_lg.jpeg, /images/lots/2689/9362~1/0022_CIbuNQ_lg.jpeg, /images/lots/2689/9362~1/0023_KGWgxF_lg.jpeg, /images/lots/2689/9362~1/0024_kGWFap_lg.jpeg, /images/lots/2689/9362~1/0025_LfTunl_lg.jpeg, /images/lots/2689/9362~1/0026_uLYaWW_lg.jpeg, /images/lots/2689/9362~1/0027_MXfJxt_lg.jpeg, /images/lots/2689/9362~1/0028_wxBKeK_lg.jpeg, /images/lots/2689/9362~1/0029_kPMNVI_lg.jpeg, /images/lots/2689/9362~1/0030_YZyYdk_lg.jpeg",,
2016 VAUXHALL INSIGNIA TECHLINE CDTI EC,51DK,2016,1598cc,Diesel,41k miles,DY16FWW,104,Silver,Jan 26,Estate,Manual,3,"['Two service invoices with teh last dated March 2024 at 35,400 miles']","/images/lots/2689/9364~1/0007_OjBkXq_lg.jpeg, /images/lots/2689/9364~1/0008_uVAwdA_lg.jpeg, /images/lots/2689/9364~1/0009_kHlUlU_lg.jpeg, /images/lots/2689/9364~1/0010_OVPwQa_lg.jpeg, /images/lots/2689/9364~1/0011_BKGpwd_lg.jpeg, /images/lots/2689/9364~1/0012_qxqmXz_lg.jpeg, /images/lots/2689/9364~1/0013_YqciIP_lg.jpeg, /images/lots/2689/9364~1/0014_msMqnD_lg.jpeg, /images/lots/2689/9364~1/0015_vcTQOV_lg.jpeg, /images/lots/2689/9364~1/0016_AoETWR_lg.jpeg, /images/lots/2689/9364~1/0017_CJmajA_lg.jpeg, /images/lots/2689/9364~1/0018_DzdvLa_lg.jpeg, /images/lots/2689/9364~1/0019_LVryNc_lg.jpeg, /images/lots/2689/9364~1/0020_jLxQBZ_lg.jpeg, /images/lots/2689/9364~1/0021_SRLcIQ_lg.jpeg, /images/lots/2689/9364~1/0022_KfZaQX_lg.jpeg, /images/lots/2689/9364~1/0023_iHZoKS_lg.jpeg, /images/lots/2689/9364~1/0024_PGDDTg_lg.jpeg, /images/lots/2689/9364~1/0025_vZABNQ_lg.jpeg, /images/lots/2689/9364~1/0026_dtcXxU_lg.jpeg, /images/lots/2689/9364~1/0027_aNvvYm_lg.jpeg, /images/lots/2689/9364~1/0028_nMYegZ_lg.jpeg, /images/lots/2689/9364~1/0029_IxtsWN_lg.jpeg, /images/lots/2689/9364~1/0030_UvBEMx_lg.jpeg",,
2014 HYUNDAI SANTA FE PREMIUM SE CRDI,52DK,2014,2199cc,Diesel,95k miles,KS64FUY,178,White,Sep 25,Estate,Auto,3,na,"/images/lots/2689/9364~2/0007_GYUrqH_lg.jpeg, /images/lots/2689/9364~2/0008_QilYBK_lg.jpeg, /images/lots/2689/9364~2/0009_vUqOLw_lg.jpeg, /images/lots/2689/9364~2/0010_hJdEBZ_lg.jpeg, /images/lots/2689/9364~2/0011_nQohgq_lg.jpeg, /images/lots/2689/9364~2/0012_kFgLNi_lg.jpeg, /images/lots/2689/9364~2/0013_NCHQtB_lg.jpeg, /images/lots/2689/9364~2/0014_kltzZe_lg.jpeg, /images/lots/2689/9364~2/0015_aHtKyr_lg.jpeg, /images/lots/2689/9364~2/0016_YJdVDt_lg.jpeg, /images/lots/2689/9364~2/0017_XYSBUk_lg.jpeg, /images/lots/2689/9364~2/0018_EnRzux_lg.jpeg, /images/lots/2689/9364~2/0019_jTFjtO_lg.jpeg, /images/lots/2689/9364~2/0020_vpJowL_lg.jpeg, /images/lots/2689/9364~2/0021_rBekKE_lg.jpeg, /images/lots/2689/9364~2/0022_lAxumu_lg.jpeg, /images/lots/2689/9364~2/0023_uFfHbH_lg.jpeg, /images/lots/2689/9364~2/0024_ksoxYe_lg.jpeg, /images/lots/2689/9364~2/0025_koiEbf_lg.jpeg, /images/lots/2689/9364~2/0026_aZhkSw_lg.jpeg, /images/lots/2689/9364~2/0027_AvaPwz_lg.jpeg, /images/lots/2689/9364~2/0028_ItfIwz_lg.jpeg, /images/lots/2689/9364~2/0029_NNCFKd_lg.jpeg, /images/lots/2689/9364~2/0030_AYShbN_lg.jpeg",,
,,,,,,,,,,,,,,,,
